City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
236,Presidencia Roque Saenz Pena,AR,2022-02-05 19:39:30,-26.7852,-60.4388,93.92,24,0,10.89,clear sky
237,Portland,US,2022-02-05 19:35:27,45.5234,-122.6762,50.94,81,75,3.0,broken clouds
238,Okha,RU,2022-02-05 19:39:31,53.5739,142.9478,4.28,92,100,20.11,overcast clouds
239,Colares,PT,2022-02-05 19:39:31,38.7992,-9.4469,56.28,73,20,1.01,few clouds
240,Batamshinskiy,KZ,2022-02-05 19:39:32,50.5594,58.2747,10.38,99,100,8.25,overcast clouds
241,Rusape,ZW,2022-02-05 19:39:32,-18.5278,32.1284,61.88,90,38,5.99,scattered clouds
242,Xining,CN,2022-02-05 19:39:32,36.6167,101.7667,11.84,90,100,1.63,overcast clouds
243,Male,MV,2022-02-05 19:39:33,4.1748,73.5089,82.35,78,75,4.61,broken clouds
244,Mujiayingzi,CN,2022-02-05 19:39:33,42.1167,118.7833,6.75,73,0,7.31,clear sky
245,Fairbanks,US,2022-02-05 19:35:01,64.8378,-147.7164,7.25,77,100,0.0,overcast clouds
246,Vestmannaeyjar,IS,2022-02-05 19:39:34,63.4427,-20.2734,29.79,62,86,7.99,overcast clouds
247,Bilma,NE,2022-02-05 19:39:34,18.6853,12.9164,62.53,18,0,5.19,clear sky
248,Provideniya,RU,2022-02-05 19:39:35,64.3833,-173.3,-6.21,86,2,10.54,clear sky
249,Kuytun,RU,2022-02-05 19:39:35,54.3419,101.5036,20.28,86,100,7.78,overcast clouds
250,Nador,MA,2022-02-05 19:37:04,35.174,-2.9287,59.25,82,75,4.61,broken clouds
251,Digras,IN,2022-02-05 19:39:35,20.1167,77.7167,64.6,24,3,3.58,clear sky
252,Nishihara,JP,2022-02-05 19:39:36,26.1842,127.7558,56.48,58,75,17.27,broken clouds
253,Hay River,CA,2022-02-05 19:39:36,60.8156,-115.7999,-2.22,60,75,1.14,broken clouds
254,Hithadhoo,MV,2022-02-05 19:39:37,-0.6,73.0833,81.95,74,100,12.08,overcast clouds
255,Staryy Oskol,RU,2022-02-05 19:37:42,51.2967,37.8417,0.82,100,100,4.92,overcast clouds
256,Cherskiy,RU,2022-02-05 19:39:37,68.75,161.3,-32.82,96,12,1.23,few clouds
257,Marsh Harbour,BS,2022-02-05 19:38:07,26.5412,-77.0636,74.12,56,0,4.23,clear sky
258,Lavrentiya,RU,2022-02-05 19:39:38,65.5833,-171.0,-17.36,93,12,9.82,few clouds
259,Koungheul,SN,2022-02-05 19:39:38,13.9833,-14.8,87.19,9,0,6.91,clear sky
